Channel Name,Handle & Subscribers,Description
3Blue1Brown,@3blue1brown • 7.42M subscribers,"My name is Grant Sanderson. Videos here cover a variety of topics in math, or adjacent fields like physics and CS, all with an emphasis on visualizing the core ideas. The goal is to use animation to help elucidate and motivate otherwise tricky topics, and for difficult problems to be made simple with changes in perspective. For more information, other projects, FAQs, and inquiries see the website: https://www.3blue1brown.com"
ABC News,@ABCNews • 18.8M subscribers,"ABC News is your daily source for breaking national and world news, exclusive interviews and 24/7 live streaming coverage that will help you stay up to date on the events shaping our world. https://abcnews.go.com"
ABC News In-depth,@ABCNewsIndepth • 2.1M subscribers,"Welcome to ABC News In-depth, where you'll find our long-form journalism and explainers to help you understand what's going on in the world around you. You'll find all your favourite ABC News programs: Four Corners, Foreign Correspondent, Australian Story, Planet America and selected 7.30 stories, as well as explainers and news features made just for you. Make sure you subscribe and hit the bell so you don't miss new episodes. ABC News In-depth helps you dig a little deeper. That means looking into the issues that affect all of us, and why it matters to you. It means going to where the people are, across Australia and the world. And it also means breaking all of that down for you, one step at a time. If you're looking for breaking news and our 24/7 ABC News live stream, subscribe to ABC News: https://www.youtube.com/user/NewsOnABC"
Al Jazeera English,@aljazeeraenglish • 16.4M subscribers,"#AlJazeeraEnglish, we focus on people and events that affect people's lives. We bring topics to light that often go under-reported, listening to all sides of the story and giving a 'voice to the voiceless.' Our impartial, fact-based reporting wins worldwide praise and respect. It is our unique brand of #journalism that the world has come to rely on. We are reshaping global media and constantly working to strengthen our reputation as one of the world's most respected #news and #CurrentAffairs channels."
Alliance for Securing Democracy,@allianceforsecuringdemocra4001 • 6 subscribers,Anders Puck Nielsen
@anderspuck • 242K subscribers,"Military analyst, based in Denmark. I try not to focus too much on the maritime domain, but it is my specialty so it can be hard to avoid.",Andrei Jikh
@AndreiJikh • 2.65M subscribers,"I will NEVER contact you for business or promotions (even if it comes from my legit email). I will not use IG, Telegram, or whatsapp to reach out - please ignore and report those accounts. I'm like Harry Potter - if he was a financial minimalist, did card tricks and worried about money. Biz inquiries: andrei@majikh.com",Ars Technica
@arstechnica • 385K subscribers,"At Ars Technica—the name is Latin-derived for the ""art of technology""—we specialize in news and reviews, analysis of technology trends, and expert advice on topics ranging from the most fundamental aspects of technology to the many ways technology is helping us discover our world. We work for the reader who not only needs to keep up on technology, but is passionate about it.",Artur Rehi
@arturrehi • 720K subscribers,Want to book a sponsorship on my channel? Click here: https://app.thoughtleaders.io/#/reserve?channelId=151297 My name is Artur Rehi and I am an Estonian reserve soldier. I completed conscription in 2018 in Kuperjanov Infantry battalion as company communications. I deliver aid to Ukraine after every 2 months and generate fundraisers for my viewers on youtube. All Ukraine aid funding is moved through Rotary Club Estonia.,arya’s lovelyperfecttalks
@lovelyperfecttalks • 14.2K subscribers,talking about the lovely perfect world we live in that elected donald trump. we’re gonna be talking for a while…,Astrum
@astrumspace • 2.48M subscribers,"How big is the Solar System? What actually orbits our Sun? Why should I even be interested in space? On this channel, we'll answer these and a whole host of other questions. We will have a series dedicated to each of our planets and showcase beautiful images and videos captured by probes and spacecraft of our amazing Solar System. Subscribe and join us on this journey of discovery!",BBC News
@BBCNews • 18.4M subscribers,"Welcome to the official BBC News YouTube channel. Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source. For the latest news and analysis download the BBC News app or visit BBC.com.",Ben Shapiro
@BenShapiro • 7.22M subscribers,"Ben Shapiro is a renowned conservative political pundit, syndicated columnist, lawyer, and NYT bestselling author. He is Editor Emeritus of news and opinion site The Daily Wire and host of the popular video podcast, The Ben Shapiro Show. Here you can watch all episodes of Ben's podcast and find clips of his media appearances, along with his college tour speeches and Q&As. Subscribe to follow Ben everywhere he goes!",Breaking Points
Breakingpoints • 1.5M subscribers,Breaking Points with Krystal and Saagar is a fearless anti-establishment Youtube show and podcast.,Business Core
@b_core • 323K subscribers,"Hi, I'm Nathan, and on this channel, I break down the world of economics, finance, and business in a way that’s engaging and easy to understand. My goal is to help you navigate the complexities of money, markets, and strategy, whether you're looking to grow your wealth, start a business, or simply make smarter financial decisions. This channel is all about practical insights and real-world examples that empower you to take control of your financial future.",Casper Capital
@Caspercapital • 1.48M subscribers,"Casper@CreatorsAgency.Co I make videos about personal finance, credit, and investing ?",CaspianReport
@CaspianReport • 1.77M subscribers,We try to make sense of an increasingly complicated world by cutting through the noise and analysing geopolitical trends.,Centre for Independent Studies
@CISAus • 198K subscribers,Let's share good ideas. ?,China Insights
@chinainsights-r2w • 361K subscribers,Chris Williamson,@ChrisWillx • 3.68M subscribers
Life is hard. This podcast will help.,CNN,@CNN • 18.4M subscribers
"CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CNN bureaus around the world, CNN delivers news from almost 4,000 journalists in every corner of the globe.",CNN-News18,@cnnnews18 • 9.96M subscribers
