"Path","SizeKB","Modified"
"C:\Users\Chris\Desktop\Autoruns_20251008_151600.txt","4.69","2025-10-08T15:16:07"
"C:\Users\Chris\Desktop\BrandSheet.md","2.35","2025-10-08T17:25:47"
"C:\Users\Chris\Desktop\ChromeExtensions_20251008_195356.md","1.77","2025-10-08T19:55:25"
"C:\Users\Chris\Desktop\CoAgent\.github\ISSUE_TEMPLATE\bug_report.md","0.13","2025-09-10T19:22:17"
"C:\Users\Chris\Desktop\CoAgent\.github\ISSUE_TEMPLATE\feature_request.md","0.09","2025-09-10T19:22:17"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\_shared\ctts-utils.ps1","2.01","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\_shared\Run-DO.ps1","0.72","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\_shared\Save-DOFromClipboard.ps1","0.9","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\_shared\Send-DOFromClipboard.ps1","0.62","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\README.md","1.56","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\scripts\Start-CoWatchers.ps1","0.62","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\scripts\Status-QuickCheck.ps1","1","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\scripts\Stop-CoWatchers.ps1","0.21","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\scripts\Watch-CoTempInbox.ps1","1.39","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent.Workbench\CoAgent.Workbench\Start-CoAgent.ps1","2.37","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Appendices.md","0.38","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Appendix_CoModules_Marketplace_Flywheel.md","1.47","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Appendix_Curated_BPOE.md","3.36","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Appendix_Curated_CoModules.md","5.85","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Appendix_Curated_Workflow.md","5.12","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Appendix_DO_Header_Spec_v0.1.md","1.65","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Backlog\BL-001_CCTS_Fallback_Remediation.md","0.24","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Backlog\BL-002_PanelRegistry_Compaction.md","0.2","2025-09-10T19:22:16"
