"Path","SizeKB","Modified"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Tests\Runs\20250908-042959\P0_Hello.txt","0.2","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Tests\Runs\20250908-042959\P1_File_Stability.txt","0.03","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Tests\Runs\20250908-043013\P0_Hello.txt","0.2","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Tests\Runs\20250908-043013\P1_File_Stability.txt","0.03","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\docs\_legacy_from_uploads\CoAgent\CoAgent\deskmess\CoAgent_BusinessPlan\Tests\Runs\20250908-043013\P6_Rollback_Exec.txt","0.15","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\runtime\original-scripts\Start-CoWatchers.ps1","0.62","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\runtime\original-scripts\Status-QuickCheck.ps1","1","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\runtime\original-scripts\Stop-CoWatchers.ps1","0.21","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\runtime\original-scripts\Test-DOHeader.ps1","2.83","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\runtime\original-scripts\Watch-CoTempInbox.ps1","1.39","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\archive\original_input\CoAgent_v2\runtime\original-scripts\Write-UnstableFile.ps1","0.53","2025-09-10T19:22:16"
"C:\Users\Chris\Desktop\CoAgent\docs\00_README.md","0.65","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\01_Value_Proposition_Canvas.md","0.86","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\02_RATs_Assumptions_Test_Plan.md","0.67","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\03_Customer_Interview_Guide.md","0.32","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\04_Competitor_Scan.md","0.38","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\05_Pricing_Scenarios.md","0.25","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\07_MVP_Spec_MM_Consensus.md","0.39","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\08_Eval_Framework.md","0.28","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\11_Roadmap.md","0.21","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\Adversarial_Scenarios.md","0.95","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\ANNOUNCEMENT_RFC-0001_Public_Comment.md","0.48","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\Appendices.md","0.38","2025-09-10T19:22:13"
"C:\Users\Chris\Desktop\CoAgent\docs\Appendix_CoModules_Marketplace_Flywheel.md","1.47","2025-09-10T19:22:13"
