"Path","SizeKB","Modified"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-135024\docs\README_FIXES.md","0.45","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-135024\greetings\GREETING_Migrate.txt","0.51","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-135024\greetings\GREETING_Planning.txt","0.52","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-135024\scripts\New-DO-Smoke-Minimal.ps1","1.15","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-135024\scripts\Stabilize-CoTemp.ps1","5.82","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-140323\docs\README_FIXES.md","0.45","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-140323\greetings\GREETING_Migrate.txt","0.51","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-140323\greetings\GREETING_Planning.txt","0.52","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-140323\scripts\New-DO-Smoke-Minimal.ps1","1.15","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-140323\scripts\Stabilize-CoTemp.ps1","5.82","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184154\docs\README_FIXES.md","0.45","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184154\greetings\GREETING_Migrate.txt","0.51","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184154\greetings\GREETING_Planning.txt","0.52","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184154\scripts\New-DO-Smoke-Minimal.ps1","1.15","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184154\scripts\Stabilize-CoTemp.ps1","5.82","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184530\docs\README_FIXES.md","0.45","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184530\greetings\GREETING_Migrate.txt","0.51","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184530\greetings\GREETING_Planning.txt","0.52","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184530\scripts\New-DO-Smoke-Minimal.ps1","1.15","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-184530\scripts\Stabilize-CoTemp.ps1","5.82","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-190253\docs\README_FIXES.md","0.45","2025-09-09T21:44:28"
"C:\Users\Chris\Downloads\CoTemp\CoPayloads\CoAgent_Fixes_StabilizePack (1)_20250921-190253\greetings\GREETING_Migrate.txt","0.51","2025-09-09T21:44:28"
